name,category,price,rating,image,description,stock,brand
Laptop,Electronics,55000,4.5,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=400,High-performance laptop with latest processor,15,Dell
Smartphone,Electronics,25000,4.3,https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?w=400,5G smartphone with amazing camera,25,Samsung
Tablet,Electronics,18000,4.2,https://images.unsplash.com/photo-1589739900243-4b52cd9dd104?w=400,10-inch tablet for entertainment,20,Apple
Headphones,Electronics,2999,4.4,https://images.unsplash.com/photo-1618366712010-f4ae9c647dcb?w=400,Wireless noise cancelling headphones,30,Sony
T-Shirt,Clothing,599,4.1,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400,100% cotton comfortable t-shirt,50,Nike
Jeans,Clothing,1299,4.2,https://images.unsplash.com/photo-1541099649105-f69ad21f3246?w=400,Slim fit stretchable jeans,35,Levi's
Jacket,Clothing,3499,4.3,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400,Winter jacket with warm lining,15,Puma
Sneakers,Footwear,3499,4.6,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,Casual sneakers for daily wear,25,Adidas
Running Shoes,Footwear,2999,4.5,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400,Lightweight running shoes,20,Nike
Sandals,Footwear,999,4.0,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=400,Comfortable summer sandals,40,Bata
Sofa,Furniture,15999,4.4,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=400,Comfortable L-shaped sofa,5,IKEA
Dining Table,Furniture,8999,4.2,https://images.unsplash.com/photo-1617806118233-18e1de247200?w=400,Wooden dining table for 6 people,8,Urban Ladder
Chair,Furniture,3999,4.1,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400,Ergonomic office chair,12,Featherlite
Novel,Books,299,4.3,https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c?w=400,Best selling fiction novel,100,Penguin
Textbook,Books,899,4.4,https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c?w=400,Educational textbook,75,Oxford
Cookbook,Books,499,4.2,https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c?w=400,Recipes from around the world,60,Random House
